variable,importance
credit_score,0.36957810846060185
or_interest_rate,0.15035726114331843
dti,0.09146870232338263
num_borrowers,0.06578338694044457
prop_valuation,0.06454583293488432
first_payment_year,0.05764714060355386
ltv,0.04534245563466174
state_def_rate,0.025113057154568928
maturity_year,0.023726763862183666
mi_percent,0.022689023442934473
or_loan_term,0.01524798293140773
loan_purpose_N,0.015078307072050691
upb,0.013386950216914524
loan_purpose_P,0.007170565250880825
first_payment_month,0.006894337146920358
maturity_month,0.006262783589560892
occupancy_P,0.005082930405386367
first_time_buyer_Y,0.0043135471817462466
channel_R,0.002320871414286619
prop_type_SF,0.0016958728020779832
channel_C,0.0016696797626947811
occupancy_S,0.0012642224081986996
prop_type_PU,0.0011369741716277333
metro_area,0.0009875928956248254
num_units_2,0.0007006913615000933
prop_type_MH,0.00021024041594514
num_units_3,0.0001869656361966122
num_units_4,0.00010343106610641097
prop_type_CP,3.432177033910509e-05
