variable,importance,importance_std
credit_score,0.1172915346626255,0.0010708434820528604
num_borrowers,0.02082057814921623,0.00011957015264961427
ltv,0.020699566860463887,0.0014426180540158373
dti,0.019740061179230328,0.001551883035111827
or_interest_rate,0.014161252840626637,0.0008450780799768745
first_payment_year,0.010200664246598379,0.0010478459509087991
state_def_rate,0.006334836179602695,0.0005697649031473009
prop_valuation,0.004093579006616517,0.0007666166563725807
loan_purpose_P,0.0034919022992302797,0.00047466966451410877
or_loan_term,0.0029170470222967815,0.0004807659107899843
first_payment_month,0.0015023247961882074,0.00012859390910188316
channel_R,0.0007934410799193362,0.00014767068887255468
maturity_year,0.000502355750047386,7.364473788051278e-05
prop_type_SF,0.000499556521520598,6.252680202312558e-05
upb,0.00045425723105663174,0.0002590143444297619
occupancy_P,0.0003860573979005781,0.00016887405110483337
mi_percent,0.0003468239225042173,0.00011480440256408254
loan_purpose_N,0.000258094773632848,0.000215140829477823
maturity_month,0.00023183909235487596,6.098031777955445e-05
num_units_2,0.00010830407032628535,5.243829310594432e-05
num_units_3,0.00010630672976060425,2.6207285909790565e-05
occupancy_S,0.00010143636729764705,0.00010999863098282363
channel_C,9.193178115770213e-05,3.9855541942213935e-05
prop_type_PU,6.55875478351442e-05,3.457520062024436e-05
prop_type_MH,3.743291715256151e-05,1.85499032099109e-05
num_units_4,1.9574921454916055e-05,1.1013111672307756e-05
first_time_buyer_Y,1.1457650683148005e-05,0.00012460124202411045
metro_area,1.1300224825797992e-05,1.5023974260972641e-05
prop_type_CP,0.0,0.0
